sensor,2018,2019,date
TC,8.166799712849958,6,1
TC,14.215070354972802,12,2
TC,18.808876404494363,13,3
TC,24.37964015469982,27,7
TC,20.96485161153074,24,8
TC,16.979599879056686,18,9
TC,10.20323852092646,7,10
TC,7.459617103392231,5,11
TC,8.565645022575806,12,12
TC,12.138638121915486,15,13
TC,13.054708480565331,16,14
TC,8.166799712849958,6,15
TC,14.215070354972802,12,16
TC,18.808876404494363,13,17
TC,22.848931909212265,22.848931909212265,18
TC,25.622257039552927,25.622257039552927,19
TC,27.758778529163024,27.758778529163024,20
TC,24.37964015469982,27,21
TC,20.96485161153074,24,22
TC,16.979599879056686,18,23
TC,10.20323852092646,7,24
TC,7.459617103392231,5,25
TC,8.565645022575806,12,26
TC,12.138638121915486,15,27
TC,13.054708480565331,16,28
TC,8.565645022575806,12,29
TC,12.138638121915486,15,30
